username,avg_likes,avg_comments,followers,price
top_mixx,13199.2,158.6,2001518,979000
majaleye_banovan,16569.0,276.7,1898104,1320000
bazigaran.iraani,5354.0,96.1,1874649,550000
bedaanim,23139.0,149.1,1866362,374000
Dr_holakoue,27273.0,371.7,1849980,660000
hamedtabriziii,384564.2,309455.0,2990064,5500000
raze_jahan,45311.7,1423.1,1886138,396000
Asheghaneha_,24914.7,553.7,1829499,220000
hashiyeh_plus,18549.6,365.6,1847175,726000
Hashiye.news,529.5,8.6,1787211,880000
wonders237,24487.6,134.6,1716310,885500
ketab_am,60486.7,758.9,1712644,1092000
khalagh_banu,3338.8,83.6,1650057,275000
Aroose_mashreghi,1551.8,17.4,1642833,110000
unco.fact,12877.0,841.0,1628587,957000
clipcartooni,4564.6,41.9,1647279,781000
BesTV.shows,23448.7,262.5,1978203,1430000
Filmak20,20036.3,370.0,1712794,550000
poozkhand.tv,3442.2,136.8,1543111,165000
Cinemaon,28700.5,435.5,1501280,1298000
banoo.page,18425.5,177.0,1503178,990000
perspolisfc.fans,29538.4,358.7,1487133,990000
honarmandan_mahbob,8396.1,267.8,1465657,528000
pias_team,11833.9,75.7,1446684,891000
fact_quiz,23091.3,742.9,1425794,902000
minimalha,9189.7,63.3,1460644,462000
majale.ashpazi,21108.7,161.1,1481907,682500
Zhele_tak,43252.8,329.3,1530436,385000
tazine_shik,11327.7,97.7,1414263,528000
cart0onbaz,22656.4,307.2,1385431,660000
b_Music_P,19008.9,318.3,1324465,715000
movie.pars,591.3,3.9,1325753,82500
akharinkhabar,15899.6,486.2,1370056,1485000
Dor__fa,8051.5,141.8,1323681,465300
VIDEO_4FUN,23676.1,492.4,1299997,6050000
Dam30_ir,468.1,90.6,1259022,550000
ahange.ghadimi,19247.2,659.0,1445534,242000
Salamati_pezeshki,7551.3,217.9,1254239,330000
khabaarnegar,1495.3,75.3,1271579,99000
razebagha.official,13058.0,321.2,1842437,385000
bekhanid_bedanid,15279.8,205.9,1248338,330000
Ashpazi.sahar,32423.3,619.3,1261989,418000
Bebin_Funny,13792.3,151.0,1224063,660000
Honar_khalaghiat,4010.9,20.4,1224100,440000
3Kansgraphy,32126.6,202.7,1199593,330000
the.facts,8668.1,213.8,1206524,165000
tbshaeri,10430.8,352.4,1174061,616000
I.wonders,9065.4,302.3,1259907,165000
tv.mez,261258.4,6338.8,1172363,4226250
Aroose_royaei,661.0,7.5,1147660,55000
beroozim,14371.6,571.9,1123888,660000
alilohrasbioriginal,46450.6,8853.9,1155260,3885000
Zhele_majlesi,10373.2,67.7,1108136,275000
afaagh__,61762.2,821.8,1214088,660000
Photography_pose,11062.2,210.9,1065636,550000
fact_bomb,13617.9,327.4,1062590,462000
Bermodair,581.3,19.7,1075953,165000
chikhobe,8509.7,152.6,1076363,495000
Majalle__zibaii,80.8,0.8,1070204,55000
fact_factt,872.0,24.8,1057486,60500
Bufilms,3842.4,76.7,1053543,308000
kadbanohaa,8395.0,83.8,1038648,605000
perspolis64b,1656.0,172.0,1033088,33000
mahditabriziii,158878.5,11493.8,1757066,2420000
Doctore_shoma,2571.3,78.2,1046188,93500
Molanagram,14384.2,656.8,1035877,880000
bad_fact,850.8,37.1,1022284,110000
khanomipaz,5416.9,49.4,1011287,385000
namakstun,5537.9,64.8,969595,550000
chehrazimag,30229.9,216.4,1010550,528000
mediapry,1214.9,26.0,974006,66000
Donyaye_zibaii,6019.1,148.4,953977,121000
Mehdisaremi_tv,51501.5,4227.2,1004454,990000
dubsmash_clip_ir,10025.6,529.8,1001731,319000
Golrokh,4607.2,50.3,982961,330000
azin.fact,11620.8,190.9,1050061,1155000
Bazigaran.30nama,12700.8,460.7,985907,110000
Film1series,1608.8,62.3,992348,165000
woowclip,878.8,10.1,970523,66000
90tv.official,29891.2,980.0,988026,797500
aroosetehran,1825.5,31.5,947504,77000
maze.gardi,15208.3,149.1,919623,1012000
Vayner_clip,1732.1,18.8,928788,110000
Ghalbeahani,20308.0,151.8,1105872,319000
imazhart,27389.0,538.9,926245,440000
video.vayner,1857.7,11.0,912879,132000
koodakekhallagh,13576.7,179.8,949843,935000
labkhandook,8487.6,65.4,187807,192500
Fane_mehmani,1417.5,17.9,897801,99000
fesgheliha_,4925.2,51.5,910569,38500
Deer.fact,3985.0,88.8,1352488,330000
_know_the_world,19354.9,412.2,910512,401500
pediaworlds,13099.5,711.6,905756,605000
big.bangpage,23683.9,363.4,904475,209000
yadegarihaaaa,6437.7,166.7,860659,88000
pico_film,-1.0,111.6,849272,966000
Timetanz,12895.7,282.9,847649,330000
Behtarin_clip,6532.5,238.2,821783,330000
Super9va,18778.7,425.6,880682,146300
tarikhi.fact,1702.9,71.3,826688,88000
tomojerry.lovers,8477.1,32.1,818125,660000
Pediamovie,17895.2,313.6,796696,319000
ajayebkaade,1598.3,75.5,853513,110000
histography_insta,16733.0,364.4,1128419,154000
manzele_taze_arus,960.1,21.3,813809,110000
Cudoiin,17902.6,707.3,807242,385000
danstani.pezeshki,9712.1,134.8,780024,330000
akhbare.fori,3354.4,240.9,779136,735000
honarmandan,5469.3,135.0,778098,242000
Topkade,6356.7,65.3,770107,165000
avamuzix,20597.0,297.6,795894,264000
Sweet_clip,6761.5,195.9,803459,220000
Movie_facts_farsi,19134.5,289.0,751165,583000
tvfactt,4359.9,110.4,747711,220000
NOSTALZHIKA,4162.3,70.9,753668,495000
ashpazi_mehmoni,5105.1,44.9,743456,367500
Aroose_m0d,2796.7,67.3,744855,49500
Ashpazi_page,2619.9,32.9,743152,110000
Befunim,17799.9,184.9,740978,672000
tor_ir,583.4,12.0,741854,71500
Sketch_architect,2172.3,8.1,768767,123200
Faratar_az_tasavor,5837.4,84.9,737876,121000
matn_e_naab,13258.7,247.7,755367,110000
Salamatezanan,11900.6,165.8,731025,630000
ashpazie.asaan,1465.6,14.9,721705,38500
honar_doostan,29.4,0.0,1247,330000
Aroose_royaei2,1385.8,17.0,700508,55000
dokhtar_one,1573.3,24.7,707019,88000
Sky_factt,611.2,21.3,699088,165000
Turkyemekler,11755.5,114.0,722906,165000
Darham.abad,6377.5,138.6,709091,99000
Filmo.cinema,3494.1,40.7,665107,275000
Shamimeshgh_,23511.1,480.7,692546,187000
avalrahmat,11838.5,453.3,698830,660000
negahememar,115.1,3.0,664973,88000
decor_mag,1658.6,33.5,667478,71500
banoo.nokte,4891.1,110.4,648238,231000
Tanzzzbazar,5887.8,72.3,661513,96800
Neembeyt,7902.6,168.1,632475,304500
ashpazie.irani,1533.4,19.3,628472,33000
Arteshs0rkh,5757.8,103.1,616449,242000
stylemrooz,5405.7,176.4,614296,110000
Tanzeiran,4876.6,115.5,626238,220000
ajibtar_az_elm,4059.4,70.0,612902,374000
Funny_mool,4192.7,78.6,698912,165000
Manzele_noaroos,615.6,8.3,603250,77000
zheen_magazine,43426.0,480.8,625312,561000
factche,15178.7,661.2,1104787,154000
iqsunn,13957.8,167.8,593924,715000
Majaleye_sabz,7545.7,170.8,596824,330000
Clip_chalesh,9050.9,123.2,725759,220000
nabgram.ir,1110.2,14.9,562585,154000
aroose_mandegar,1389.1,51.9,592083,77000
Osule_bakelasi,5860.7,92.9,600267,110000
Believe.change,2948.6,35.8,604117,55000
campec.ir,2778.6,64.3,595593,132000
jarchi,1971.4,64.7,619503,66000
Majale_ehsasi,1472.7,9.9,671455,55000
graphicroozane,3412.0,18.4,585706,1650000
deser_zardaloo,2484.5,25.1,596822,275000
Mehranmodiri_18,5425.8,58.9,587783,154000
Asheghaneh_graphi,3989.4,34.2,582582,84700
Chaakame,32784.9,341.4,612244,330000
Film_clip_ir,3362.5,174.2,549089,91300
bahambesazim,527.1,15.4,572233,27500
6taeea52,5747.4,148.5,580468,165000
smartdoctor.ir,516.5,20.9,576490,132000
royaiii__,28250.9,348.3,625087,165000
Havades_news,6555.0,239.4,543521,143000
bamanbedooz,3390.6,56.0,567221,880000
Armiin_elikaei70,113483.4,10976.8,2667888,1650000
filmbilm,355.9,8.1,635787,330000
Tanz_sora,3264.7,42.0,603646,110000
taj.kabire.asia,1935.1,190.1,572453,44000
Iran_specific_cars,7933.2,191.7,563161,330000
Zendegi_daneshjooyi,11680.7,158.5,555015,368500
Nabayad_mikhandim,42951.3,448.4,713243,165000
Kb_sher,3728.0,25.7,588622,297000
Tabriz_tanz,6809.3,216.6,698249,198000
gravity_lyrics,1695.8,15.5,537522,264000
clip_axmaxbax,3659.6,221.6,560257,110000
Hichismi,12785.2,93.5,699433,220000
Funy_kilip,3032.9,39.4,595350,110000
Pias_sport,5830.3,75.5,535105,220000
neveshte.royai,48554.4,424.7,596539,143000
Luxedrives,16687.6,482.0,533420,462000
karimbagheri6,10137.7,246.8,577778,176000
turktanzz,5093.3,60.6,528405,154000
lorazpam_0rg,610.7,50.3,538683,44000
caset_ir,480.3,10.2,521290,77000
mani_wizart,15647.9,373.9,486026,1100000
Mojeze.zehn.arezoozare,2224.3,94.3,512510,550000
Fcperspolis,6084.3,122.9,519079,165000
Lebasmajlesi.model,3666.3,35.2,522645,110000
amozesh.cake,14001.4,474.4,524097,330000
Paytakht.6,4082.7,54.9,924179,220000
Myg0d,20365.4,1337.1,769731,242000
shaaadshooo,4776.9,38.1,521360,165000
Ttsh_world,393.5,40.9,513728,132000
roozgasht,17048.8,247.4,1209503,209000
salamati_injaast,2513.0,21.1,510156,275000
Raazmedia,6027.9,91.0,625998,159500
Fun_tur,11587.5,117.7,700089,213400
clipmoviz,186.0,0.0,497911,66000
funy_fast,4977.5,47.2,560237,88000
architecturementality,367.2,4.4,502781,88000
ritme.music,6784.3,156.2,557045,110000
praduxe,7490.2,258.3,679795,352000
_soqout,7911.2,70.7,481968,275000
majale_trip,746.5,8.7,489749,22000
Tasvireroyaa,16466.3,478.1,488419,220000
Khaterat_dirooz,20400.9,502.7,507931,363000
decor_graphy,94.8,0.8,494645,20900
matne.khas2,15156.7,187.4,617629,440000
ghodrate_talghin,3824.0,58.6,486029,132000
kadbano.bash,2803.0,34.6,481069,110000
ashpazi_farsi,897.1,12.4,488042,35200
_baft_mo,18060.8,88.2,579303,198000
Cinema.bartar,196.9,10.7,466978,55000
bebinobesaz,2011.8,36.0,473233,110000
kadoidea,3180.2,191.6,576037,77000
Eshghe_minions,5147.1,29.6,453276,132000
desser.doon,1993.5,18.4,480691,176000
picoovid,5069.0,194.3,471736,154000
_uniquk_,5086.3,47.5,450433,220000
Khatoone.khone,6071.4,64.3,466154,143000
Funny_kilip,3350.0,46.1,470548,55000
shakouri_m,10179.6,564.6,485599,1452000
Matn.Nik,17447.3,165.9,637533,308000
Madarane20,3143.8,109.5,466226,220000
Deep_mach,2546.2,44.1,466574,110000
Khoshmaze_tarina,2151.5,24.0,459963,38500
aroose_najib,36.2,1.0,458970,33000
daneshkade_khayati,1148.8,24.8,459011,44000
janjale_rooz,1194.5,29.5,455968,33000
muzic.nex1,3118.0,75.2,458673,165000
Tonele__zaman,3470.1,62.4,456578,77000
saadigram,7697.5,127.5,455345,440000
Englishpersian,1704.8,36.5,437843,825000
persian.drift,4173.4,113.9,452281,154000
time_healthy,5610.3,51.0,443106,220000
toopcliip,5120.1,51.6,469797,154000
chizhaye_kouchak,17101.4,390.4,443734,286000
sazaavaz,1974.9,49.3,560488,66000
paitakht_6,6348.1,46.1,681427,84700
ashpazi.maral,5286.5,351.9,434963,187000
Love.gune,2907.5,105.4,445898,46200
Topteory,11660.4,240.4,462962,110000
Man_mitunm,6629.7,142.3,440788,209000
rangindeser2,388.9,4.5,434778,55000
sokhanan.arzeshmand,614.2,4.4,436096,88000
English_code,5070.6,123.6,560479,88000
fctaj,4242.9,195.9,453580,143000
Fariba.music,7730.4,146.6,801806,71500
sher_e_naaab,7001.3,107.3,495160,77000
textvision,3561.9,67.8,430778,165000
Park.kon,3214.7,72.4,571561,438900
cinema_Radical,2407.8,70.7,403281,110000
mostafakhedmatii,957.7,7.8,428474,88000
majaleh_lorazpam,594.1,47.9,424463,55000
Donyay_ashpaziii,2587.8,26.7,436863,253000
filimuo,958.4,5.9,427826,88000
Iranian_bodybuilderss,4005.8,56.3,411390,187000
khayati.neda,7698.4,86.9,482396,55000
Model_bala,6705.0,98.5,451048,198000
Aroose_lavand,314.7,11.0,429761,71500
paaytakhte5,1271.1,19.9,430383,165000
_zohreh_ghasemi,28816.9,3393.3,416052,1100000
Nabzezendegi.ir,5281.0,178.1,419008,110000
Kirilan_qalblar,18338.8,181.1,454596,132000
nimkhati,5299.3,209.1,408071,440000
sudabe.turkish.life,10124.1,262.5,423492,550000
ABBASAHMDII,87964.2,2520.7,882358,1100000
tap_fact,1464.5,112.3,425302,44000
Dorhami_video_fans,7820.0,69.6,510605,147400
Clipkadeh.irani,7813.9,83.3,445770,88000
Funny_tek,3181.8,42.4,514594,110000
torsho_shirin_,1852.6,23.6,411641,165000
Khoytoday,1902.0,27.6,422548,88000
_fitnessOnline,7984.6,81.0,438611,418000
armiamardanian,7390.9,720.8,421449,220000
Voroujakeman,2371.1,31.6,501584,27500
Sooti.show,5104.8,79.4,412743,330000
tarfandhaye_ashpazi_,1591.5,33.2,410573,80300
darman_pezeshki,2667.0,70.8,423172,71500
funybash,3356.9,38.0,501754,66000
Dialog.bazi,17182.3,156.2,407992,396000
tractorfc1,1233.1,37.8,404634,170500
Turk_clib,3277.7,142.2,410778,275000
Irani.actor,5231.1,457.8,415113,44000
naturefarsi,2407.0,41.8,395983,165000
skizoferny,8283.3,209.5,403488,132000
baroone_eshgh_,7385.0,110.6,407625,198000
khatami.76,3429.8,277.5,403738,330000
Energy_novin,1648.1,28.8,396181,275000
mahsan.sd,1206.8,136.7,408086,38500
bino.clip,3910.0,160.0,396830,308000
Pezeshkanbartar,886.7,12.0,397744,165000
younestorabi_ir,20430.9,251.8,405920,825000
Enerji_mosbat_bomb_1,6044.1,196.4,398277,110000
ashpazi_saeedeh,3361.8,53.5,403952,110000
playpico,549.5,7.8,400352,71500
khodaorginall,7971.5,177.9,405171,220000
aroose_pardis,504.2,10.8,392831,132000
Pezeshkyar_javan,2669.2,75.4,396870,71500
Aroose_yeganeh,93.7,3.9,418640,71500
majale_zanashooyi,1278.8,24.3,392179,275000
_bekhanim_,23376.6,457.5,436372,385000
post_bartar,996.4,41.2,385238,110000
PerspolisTehran,1809.2,77.1,397137,110000
oclip,524.6,10.5,414450,71500
caption.khas,9594.6,91.2,404056,154000
varzesh.vb,2544.8,75.9,644199,49500
top.p0st,936.3,34.9,373437,71500
slidebartar,10441.8,352.0,430578,110000
lenofact,2894.3,43.1,383230,165000
Siibgram,4267.2,67.2,393424,165000
Naghashikoodak_fatima,4260.1,205.8,382169,550000
fact_psychology,9729.7,109.7,420379,121000
aroose_vip,149.7,3.6,379022,38500
Shadi_yani,1990.2,8.4,377195,165000
ashpazi_rangiin,2727.5,30.2,389282,220000
Golchin.honar,2317.4,81.4,444131,79200
majallehkhodro,52382.5,4117.7,438745,495000
Makeupvideos_aroos,1047.1,11.9,381989,46200
Golchin_gram,6234.9,268.0,392690,220000
one_word_per_day,1600.0,18.9,357268,253000
majaleyekoodak,1039.9,21.6,366000,88000
zana.shooyi,5457.8,119.6,368670,143000
shakila64,3209.4,68.5,373825,110000
asena_clip,3267.9,52.7,369847,198000
Saharchef,82169.2,11506.9,735054,880000
azermusic,6750.7,202.3,370123,110000
Shahbanoo_olgo,1401.2,24.0,371045,33000
Matne.Nik1,17812.8,154.5,438176,2090000
golchine_khatereha,1909.1,34.1,369194,55000
Majale_salamat,3044.1,61.4,368998,38500
clipkade_ir,957.8,50.3,367808,99000
1danestaniha,50.2,9.9,372549,220000
Ghanonejazb_zare,2575.4,72.4,365607,132000
Bimozo,1872.0,37.3,354392,33000
Amirjahanbakhsh75,12048.7,891.3,364100,495000
Tv_funplus,2929.0,51.5,355456,165000
parsiwod,2019.9,146.7,365595,99000
tajkabir.1,1179.8,16.8,352556,110000
Motivationfilm,5839.1,610.4,359976,319000
mooo_arayesh,885.3,7.3,352869,44000
shur.o.shirin,363.1,36.2,355015,77000
zibapic,1580.1,105.7,355588,55000
Serial.tanz,0.5,0.0,14,96800
ASHPAZI_KHANOM,917.2,11.5,355804,55000
top_tourism,8536.1,188.1,359690,220000
Bebin_o_bedan,3820.6,137.2,376989,49500
Talghin_mosbat,5488.3,716.8,361005,165000
Lovely_trucks,7289.1,82.8,452119,275000
zimapoem,12911.7,293.6,345731,275000
Toyotagram_iran,6097.7,57.3,392038,308000
bodocomedy,4407.4,33.1,404368,121000
Narenjigroup,4103.7,50.2,329917,88000
Aroose_asall,79.9,3.8,343747,58300
hafezgram,5366.8,130.0,352048,440000
Sedamasih,15511.8,1591.2,347150,880000
Shadmehrlive,315.7,9.7,973,77000
Pias_day,2855.3,44.9,348578,220000
majaleye_modha,2275.1,36.5,339766,44000
factpact,5385.8,102.0,372114,220000
text.mosbat,4272.8,397.3,344966,275000
clip_kade2,836.8,51.3,343610,88000
cilip4you,1766.4,20.2,352666,143000
dadaigram,3915.1,23.0,330980,60500
Black__trick,1373.9,9.1,338816,183700
Dep_faz,2161.2,18.8,341847,41800
clip.mix_ir,2.1,0.5,48,165000
the_law_of_lovee,7102.2,1230.0,358973,108900
clip_axmaxbax1,11277.7,310.5,344171,77000
Clip.bartar,3796.3,149.2,328140,66000
donsgame,23950.2,617.2,343355,277200
Farsienglish,4252.0,127.4,328155,330000
iran_beautiful_ir,16703.4,358.8,469333,385000
Manto__roz,1139.0,32.0,465607,66000
asrejadid_official,4807.6,195.8,339739,99000
ashpazie_nab,2554.5,92.4,340253,88000
shahre_movafaghiat,4446.5,109.7,337051,110000
Memari_bartar,988.2,24.9,336047,165000
Mehraban.kindergarten,4871.9,195.3,330520,495000
Kice_Suzi,4375.4,107.0,352319,77000
pezeshki_beauti,3470.7,182.0,336115,104500
music.video.parsi,1939.6,25.9,342216,110000
English._.idioms,12123.2,89.3,429237,77000
hayatvhsh,12402.8,96.8,458854,198000
soonfact,124.4,1.2,328142,15400
iranimashin,44.2,2.6,448729,275000
Aroose_setare,120.7,3.2,329239,58300
Cilip_land,1204.5,54.0,326009,165000
khabar_fouri.official,392.6,15.5,333878,187000
Chideman.nov.arus,803.7,17.1,320094,49500
ashpazie_khanegi,1789.4,27.4,349821,49500
sh.k968,5568.3,54.8,335055,220000
Jopitar,12377.8,115.2,379100,385000
Lezzat_ashpazi,1922.1,33.2,328816,77000
pregnancy_science,938.4,105.7,331215,110000
khabar_beroz,746.2,67.4,358193,88000
cliphaaaa1,1660.8,81.6,321198,110000
Bavar_zehn,5588.0,518.7,318316,82500
Idea_maa,1158.1,26.5,316372,88000
mod__plus,715.5,9.9,319710,99000
houseplant_1984,3540.6,48.0,316211,2200000
selfmade_ir,6757.8,95.1,316424,198000
Fot_fann,1462.0,30.1,327723,165000
Bebinmanu,4658.2,48.5,295396,88000
Comedy.farsi,5231.9,41.0,342612,220000
ashpazie_samira,761.7,53.7,314808,154000
Persian.drag,2557.4,48.7,314547,110000
digiato,10171.9,215.2,385699,2475000
iran_carlux,3373.5,77.6,313878,110000
makeup_aros_fashion,538.3,10.6,417090,60500
Donyaye.mod.zibayi,641.0,11.8,377162,132000
Aroose_ideall,1504.3,17.9,306711,77000
homegym_123,1899.4,13.8,307667,110000
rouydad24.ir,765.0,23.6,307948,330000
makeupmodd,854.4,11.7,315031,38500
textfa_,9150.8,46.1,314331,1045000
gray_fashion,710.1,8.2,263775,363000
Honaarmaandan,1774.0,66.9,337482,33000
Jol_gram,4269.2,724.0,308096,319000
Pias_free,1990.6,23.4,304115,220000
Timarestan_irr,898.1,77.1,295273,110000
Full_tak,2922.8,75.4,299649,99000
Shikism,158.6,8.0,731,84700
Time.losting,3920.2,41.5,268021,176000
nikkarimi1350,900.6,45.9,305638,22000
arayesh_va_poost,2389.7,25.1,301344,121000
text_lahzeha,9285.7,85.5,324428,88000
behtarinha_ba_hasti,2539.5,93.0,310382,88000
food_somaye,16531.3,549.5,318813,440000
Fateme__mokhtari,233.6,144.4,299576,275000
antiki3,2948.7,76.2,307159,88000
Hamsar.naz,1866.5,83.5,390367,132000
business.books,3774.5,78.4,311093,660000
LEO.ORG1,75282.3,4153.4,1009985,440000
hassan_reyvandi22,8435.9,55.4,329772,38500
Idea_shiik,2470.8,71.0,345294,77000
eghtesaad24.ir,861.3,44.0,301904,220000
funn.clipp,2989.6,36.7,511809,60500
lindakiani4__,1006.4,16.3,299090,22000
Pic.khaas,4345.5,91.2,293644,176000
aliiiiiiiikarimi8_havadaran,3011.3,56.5,300460,27500
Magic.facts,3417.6,129.9,299298,66000
Sahar.clipo,5458.5,44.0,331777,385000
perspoliss_fc,7628.7,380.8,485605,121000
majaleye_danestaniha,1356.8,88.5,296352,38500
Ashpaziiiasan,1302.7,31.0,551427,209000
Caffe_cinama,2239.0,37.2,293306,55000
Sasankeshani,28274.7,1394.9,698988,165000
shiva_tarfand,965.9,11.1,292603,33000
Tarikh_perspolis,6821.5,250.7,358915,55000
Top_honarmandan_ir,4512.5,137.2,395763,72600
Pias_gym,5268.9,69.1,333560,275000
Steve_harvey_irani,9734.3,110.0,649988,275000
Manazeleshik,1737.6,17.1,284396,49500
azerbaijanlite,1556.6,25.4,290423,88000
Nini_video,7291.7,57.6,289333,159500
Matne.Baran,8371.7,67.0,336406,231000
Iranian_artist,2105.5,24.6,277704,66000
khodrobank,322.0,18.9,291400,121000
Sinaofficial_,352.2,9.5,281012,165000
didani_org,6259.7,346.9,581630,49500
ChaleshX,3698.6,28.6,286341,275000
Zhestakkasi,5107.6,96.8,331443,132000
music.salatin,871.1,12.1,287114,38500
bebin.yadbegir,2319.0,47.5,308866,110000
Film_clip_ax,5213.2,236.7,293620,110000
miss_go0lsa,463.8,26.3,286709,16500
honarmandanmahbob1,1966.1,99.8,296684,165000
lezate_ashpazi_irani,943.4,30.1,263718,110000
